t,setpoint,xn,yn,posisi
-0.990000,0.000000,0.000000,0.000000,0.000000
-0.980000,0.000000,0.000000,0.000000,0.000000
-0.970000,0.000000,0.000000,0.000000,0.000000
-0.960000,0.000000,0.000000,0.000000,0.000000
-0.950000,0.000000,0.000000,0.000000,0.000000
-0.940000,0.000000,0.000000,0.000000,0.000000
-0.930000,0.000000,0.000000,0.000000,0.000000
-0.920000,0.000000,0.000000,0.000000,0.000000
-0.910000,0.000000,0.000000,0.000000,0.000000
-0.900000,0.000000,0.000000,0.000000,0.000000
-0.890000,0.000000,0.000000,0.000000,0.000000
-0.880000,0.000000,0.000000,0.000000,0.000000
-0.870000,0.000000,0.000000,0.000000,0.000000
-0.860000,0.000000,0.000000,0.000000,0.000000
-0.850000,0.000000,0.000000,0.000000,0.000000
-0.840000,0.000000,0.000000,0.000000,0.000000
-0.830000,0.000000,0.000000,0.000000,0.000000
-0.820000,0.000000,0.000000,0.000000,0.000000
-0.810000,0.000000,0.000000,0.000000,0.000000
-0.800000,0.000000,0.000000,0.000000,0.000000
-0.790000,0.000000,0.000000,0.000000,0.000000
-0.780000,0.000000,0.000000,0.000000,0.000000
-0.770000,0.000000,0.000000,0.000000,0.000000
-0.760000,0.000000,0.000000,0.000000,0.000000
-0.750000,0.000000,0.000000,0.000000,0.000000
-0.740000,0.000000,0.000000,0.000000,0.000000
-0.730000,0.000000,0.000000,0.000000,0.000000
-0.720000,0.000000,0.000000,0.000000,0.000000
-0.710000,0.000000,0.000000,0.000000,0.000000
-0.700000,0.000000,0.000000,0.000000,0.000000
-0.690000,0.000000,0.000000,0.000000,0.000000
-0.680000,0.000000,0.000000,0.000000,0.000000
-0.670000,0.000000,0.000000,0.000000,0.000000
-0.660000,0.000000,0.000000,0.000000,0.000000
-0.650000,0.000000,0.000000,0.000000,0.000000
-0.640000,0.000000,0.000000,0.000000,0.000000
-0.630000,0.000000,0.000000,0.000000,0.000000
-0.620000,0.000000,0.000000,0.000000,0.000000
-0.610000,0.000000,0.000000,0.000000,0.000000
-0.600000,0.000000,0.000000,0.000000,0.000000
-0.590000,0.000000,0.000000,0.000000,0.000000
-0.580000,0.000000,0.000000,0.000000,0.000000
-0.570000,0.000000,0.000000,0.000000,0.000000
-0.560000,0.000000,0.000000,0.000000,0.000000
-0.550000,0.000000,0.000000,0.000000,0.000000
-0.540000,0.000000,0.000000,0.000000,0.000000
-0.530000,0.000000,0.000000,0.000000,0.000000
-0.520000,0.000000,0.000000,0.000000,0.000000
-0.510000,0.000000,0.000000,0.000000,0.000000
-0.500000,0.000000,0.000000,0.000000,0.000000
-0.490000,0.000000,0.000000,0.000000,0.000000
-0.480000,0.000000,0.000000,0.000000,0.000000
-0.470001,0.000000,0.000000,0.000000,0.000000
-0.460001,0.000000,0.000000,0.000000,0.000000
-0.450001,0.000000,0.000000,0.000000,0.000000
-0.440001,0.000000,0.000000,0.000000,0.000000
-0.430001,0.000000,0.000000,0.000000,0.000000
-0.420001,0.000000,0.000000,0.000000,0.000000
-0.410001,0.000000,0.000000,0.000000,0.000000
-0.400001,0.000000,0.000000,0.000000,0.000000
-0.390001,0.000000,0.000000,0.000000,0.000000
-0.380001,0.000000,0.000000,0.000000,0.000000
-0.370001,0.000000,0.000000,0.000000,0.000000
-0.360001,0.000000,0.000000,0.000000,0.000000
-0.350001,0.000000,0.000000,0.000000,0.000000
-0.340001,0.000000,0.000000,0.000000,0.000000
-0.330001,0.000000,0.000000,0.000000,0.000000
-0.320001,0.000000,0.000000,0.000000,0.000000
-0.310001,0.000000,0.000000,0.000000,0.000000
-0.300001,0.000000,0.000000,0.000000,0.000000
-0.290001,0.000000,0.000000,0.000000,0.000000
-0.280001,0.000000,0.000000,0.000000,0.000000
-0.270001,0.000000,0.000000,0.000000,0.000000
-0.260001,0.000000,0.000000,0.000000,0.000000
-0.250001,0.000000,0.000000,0.000000,0.000000
-0.240001,0.000000,0.000000,0.000000,0.000000
-0.230001,0.000000,0.000000,0.000000,0.000000
-0.220001,0.000000,0.000000,0.000000,0.000000
-0.210001,0.000000,0.000000,0.000000,0.000000
-0.200001,0.000000,0.000000,0.000000,0.000000
-0.190001,0.000000,0.000000,0.000000,0.000000
-0.180001,0.000000,0.000000,0.000000,0.000000
-0.170001,0.000000,0.000000,0.000000,0.000000
-0.160001,0.000000,0.000000,0.000000,0.000000
-0.150001,0.000000,0.000000,0.000000,0.000000
-0.140001,0.000000,0.000000,0.000000,0.000000
-0.130001,0.000000,0.000000,0.000000,0.000000
-0.120001,0.000000,0.000000,0.000000,0.000000
-0.110001,0.000000,0.000000,0.000000,0.000000
-0.100001,0.000000,0.000000,0.000000,0.000000
-0.090001,0.000000,0.000000,0.000000,0.000000
-0.080001,0.000000,0.000000,0.000000,0.000000
-0.070001,0.000000,0.000000,0.000000,0.000000
-0.060001,0.000000,0.000000,0.000000,0.000000
-0.050001,0.000000,0.000000,0.000000,0.000000
-0.040001,0.000000,0.000000,0.000000,0.000000
-0.030001,0.000000,0.000000,0.000000,0.000000
-0.020001,0.000000,0.000000,0.000000,0.000000
-0.010001,0.000000,0.000000,0.000000,0.000000
-0.000001,0.000000,0.000000,0.000000,0.000000
0.009999,1.000000,0.100000,0.000498,0.000498
0.019999,1.000000,0.099950,0.001489,0.001987
0.029999,1.000000,0.099801,0.002469,0.004456
0.039999,1.000000,0.099554,0.003437,0.007893
0.049999,1.000000,0.099211,0.004393,0.012285
0.059999,1.000000,0.098771,0.005335,0.017620
0.069999,1.000000,0.098238,0.006263,0.023883
0.079999,1.000000,0.097612,0.007176,0.031059
0.089999,1.000000,0.096894,0.008073,0.039132
0.099999,1.000000,0.096087,0.008954,0.048086
0.109999,1.000000,0.095191,0.009817,0.057903
0.119999,1.000000,0.094210,0.010663,0.068566
0.129999,1.000000,0.093143,0.011490,0.080056
0.139999,1.000000,0.091994,0.012297,0.092353
0.149999,1.000000,0.090765,0.013085,0.105439
0.159999,1.000000,0.089456,0.013853,0.119291
0.169999,1.000000,0.088071,0.014599,0.133890
0.179999,1.000000,0.086611,0.015323,0.149213
0.189999,1.000000,0.085079,0.016026,0.165239
0.199999,1.000000,0.083476,0.016706,0.181945
0.209999,1.000000,0.081805,0.017363,0.199308
0.219999,1.000000,0.080069,0.017996,0.217304
0.229999,1.000000,0.078270,0.018606,0.235910
0.239999,1.000000,0.076409,0.019191,0.255101
0.249999,1.000000,0.074490,0.019751,0.274852
0.259999,1.000000,0.072515,0.020287,0.295139
0.269999,1.000000,0.070486,0.020797,0.315936
0.279999,1.000000,0.068406,0.021282,0.337218
0.289999,1.000000,0.066278,0.021741,0.358959
0.299999,1.000000,0.064104,0.022174,0.381133
0.309999,1.000000,0.061887,0.022581,0.403714
0.319999,1.000000,0.059629,0.022961,0.426675
0.329999,1.000000,0.057332,0.023315,0.449990
0.339999,1.000000,0.055001,0.023643,0.473633
0.349999,1.000000,0.052637,0.023943,0.497576
0.359999,1.000000,0.050242,0.024218,0.521794
0.369999,1.000000,0.047821,0.024465,0.546259
0.379999,1.000000,0.045374,0.024686,0.570944
0.389999,1.000000,0.042906,0.024880,0.595824
0.399999,1.000000,0.040418,0.025047,0.620871
0.409999,1.000000,0.037913,0.025188,0.646059
0.419999,1.000000,0.035394,0.025302,0.671361
0.429999,1.000000,0.032864,0.025390,0.696752
0.439999,1.000000,0.030325,0.025453,0.722204
0.449999,1.000000,0.027780,0.025489,0.747693
0.459999,1.000000,0.025231,0.025499,0.773192
0.469999,1.000000,0.022681,0.025484,0.798676
0.479999,1.000000,0.020132,0.025444,0.824119
0.489999,1.000000,0.017588,0.025378,0.849498
0.499999,1.000000,0.015050,0.025288,0.874786
0.509999,1.000000,0.012521,0.025174,0.899960
0.519999,1.000000,0.010004,0.025036,0.924995
0.529999,1.000000,0.007500,0.024874,0.949869
0.539999,1.000000,0.005013,0.024689,0.974558
0.549999,1.000000,0.002544,0.024481,0.999038
0.559999,1.000000,0.000096,0.024250,1.023288
0.569999,1.000000,-0.002329,0.023998,1.047286
0.579999,1.000000,-0.004729,0.023724,1.071010
0.589999,1.000000,-0.007101,0.023429,1.094439
0.599999,1.000000,-0.009444,0.023113,1.117552
0.609999,1.000000,-0.011755,0.022778,1.140330
0.619999,1.000000,-0.014033,0.022423,1.162752
0.629999,1.000000,-0.016275,0.022049,1.184801
0.639999,1.000000,-0.018480,0.021656,1.206457
0.649999,1.000000,-0.020646,0.021246,1.227703
0.659999,1.000000,-0.022770,0.020818,1.248521
0.669999,1.000000,-0.024852,0.020374,1.268895
0.679999,1.000000,-0.026890,0.019914,1.288809
0.689999,1.000000,-0.028881,0.019438,1.308246
0.699999,1.000000,-0.030825,0.018947,1.327193
0.709999,1.000000,-0.032719,0.018442,1.345635
0.719999,1.000000,-0.034564,0.017923,1.363558
0.729999,1.000000,-0.036356,0.017392,1.380950
0.739999,1.000000,-0.038095,0.016848,1.397798
0.749999,1.000000,-0.039780,0.016293,1.414091
0.759999,1.000000,-0.041409,0.015726,1.429817
0.769999,1.000000,-0.042982,0.015149,1.444967
0.779999,1.000000,-0.044497,0.014563,1.459530
0.789999,1.000000,-0.045953,0.013968,1.473498
0.799999,1.000000,-0.047350,0.013364,1.486862
0.809999,1.000000,-0.048686,0.012753,1.499614
0.819999,1.000000,-0.049961,0.012135,1.511749
0.829999,1.000000,-0.051175,0.011510,1.523259
0.839999,1.000000,-0.052326,0.010880,1.534140
0.849999,1.000000,-0.053414,0.010245,1.544385
0.859999,1.000000,-0.054439,0.009606,1.553992
0.869999,1.000000,-0.055399,0.008964,1.562955
0.879999,1.000000,-0.056296,0.008318,1.571274
0.889999,1.000000,-0.057127,0.007671,1.578945
0.899999,1.000000,-0.057894,0.007022,1.585966
0.909999,1.000000,-0.058597,0.006372,1.592338
0.919999,1.000000,-0.059234,0.005722,1.598060
0.929999,1.000000,-0.059806,0.005072,1.603131
0.939999,1.000000,-0.060313,0.004423,1.607555
0.949999,1.000000,-0.060755,0.003776,1.611331
0.959999,1.000000,-0.061133,0.003132,1.614462
0.969999,1.000000,-0.061446,0.002490,1.616952
0.979999,1.000000,-0.061695,0.001852,1.618804
0.989999,1.000000,-0.061880,0.001218,1.620022
0.999999,1.000000,-0.062002,0.000589,1.620612
1.009999,1.000000,-0.062061,-0.000035,1.620577
1.019999,1.000000,-0.062058,-0.000652,1.619925
1.029999,1.000000,-0.061992,-0.001264,1.618661
1.039999,1.000000,-0.061866,-0.001868,1.616793
1.049999,1.000000,-0.061679,-0.002465,1.614329
1.059999,1.000000,-0.061433,-0.003053,1.611275
1.069999,1.000000,-0.061128,-0.003633,1.607642
1.079999,1.000000,-0.060764,-0.004204,1.603438
1.089999,1.000000,-0.060344,-0.004765,1.598673
1.099999,1.000000,-0.059867,-0.005317,1.593356
1.109999,1.000000,-0.059336,-0.005857,1.587499
1.119999,1.000000,-0.058750,-0.006387,1.581112
1.129999,1.000000,-0.058111,-0.006905,1.574207
1.139999,1.000000,-0.057421,-0.007412,1.566795
1.149999,1.000000,-0.056679,-0.007907,1.558888
1.159999,1.000000,-0.055889,-0.008388,1.550500
1.169999,1.000000,-0.055050,-0.008857,1.541642
1.179999,1.000000,-0.054164,-0.009313,1.532329
1.189999,1.000000,-0.053233,-0.009755,1.522573
1.199998,1.000000,-0.052257,-0.010184,1.512390
1.209998,1.000000,-0.051239,-0.010598,1.501792
1.219998,1.000000,-0.050179,-0.010997,1.490795
1.229998,1.000000,-0.049079,-0.011382,1.479412
1.239998,1.000000,-0.047941,-0.011752,1.467660
1.249998,1.000000,-0.046766,-0.012107,1.455553
1.259998,1.000000,-0.045555,-0.012446,1.443107
1.269998,1.000000,-0.044311,-0.012770,1.430337
1.279998,1.000000,-0.043034,-0.013078,1.417259
1.289998,1.000000,-0.041726,-0.013370,1.403890
1.299998,1.000000,-0.040389,-0.013646,1.390244
1.309998,1.000000,-0.039024,-0.013905,1.376338
1.319998,1.000000,-0.037634,-0.014149,1.362190
1.329998,1.000000,-0.036219,-0.014376,1.347814
1.339998,1.000000,-0.034781,-0.014586,1.333228
1.349998,1.000000,-0.033323,-0.014780,1.318447
1.359998,1.000000,-0.031845,-0.014958,1.303489
1.369998,1.000000,-0.030349,-0.015119,1.288371
1.379998,1.000000,-0.028837,-0.015263,1.273108
1.389998,1.000000,-0.027311,-0.015391,1.257717
1.399998,1.000000,-0.025772,-0.015502,1.242215
1.409998,1.000000,-0.024221,-0.015597,1.226618
1.419998,1.000000,-0.022662,-0.015675,1.210943
1.429998,1.000000,-0.021094,-0.015737,1.195206
1.439998,1.000000,-0.019521,-0.015783,1.179423
1.449998,1.000000,-0.017942,-0.015812,1.163611
1.459998,1.000000,-0.016361,-0.015826,1.147786
1.469998,1.000000,-0.014779,-0.015823,1.131962
1.479998,1.000000,-0.013196,-0.015805,1.116157
1.489998,1.000000,-0.011616,-0.015771,1.100386
1.499998,1.000000,-0.010039,-0.015722,1.084664
1.509998,1.000000,-0.008466,-0.015658,1.069005
1.519998,1.000000,-0.006901,-0.015579,1.053427
1.529998,1.000000,-0.005343,-0.015485,1.037942
1.539998,1.000000,-0.003794,-0.015376,1.022566
1.549998,1.000000,-0.002257,-0.015253,1.007312
1.559998,1.000000,-0.000731,-0.015116,0.992196
1.569998,1.000000,0.000780,-0.014966,0.977230
1.579998,1.000000,0.002277,-0.014802,0.962429
1.589998,1.000000,0.003757,-0.014624,0.947804
1.599998,1.000000,0.005220,-0.014434,0.933370
1.609998,1.000000,0.006663,-0.014231,0.919139
1.619998,1.000000,0.008086,-0.014016,0.905123
1.629998,1.000000,0.009488,-0.013789,0.891333
1.639998,1.000000,0.010867,-0.013551,0.877783
1.649998,1.000000,0.012222,-0.013301,0.864482
1.659998,1.000000,0.013552,-0.013040,0.851442
1.669998,1.000000,0.014856,-0.012769,0.838673
1.679998,1.000000,0.016133,-0.012488,0.826185
1.689998,1.000000,0.017382,-0.012196,0.813988
1.699998,1.000000,0.018601,-0.011896,0.802093
1.709998,1.000000,0.019791,-0.011586,0.790506
1.719998,1.000000,0.020949,-0.011268,0.779238
1.729998,1.000000,0.022076,-0.010942,0.768296
1.739998,1.000000,0.023170,-0.010608,0.757689
1.749998,1.000000,0.024231,-0.010266,0.747423
1.759998,1.000000,0.025258,-0.009917,0.737505
1.769998,1.000000,0.026249,-0.009562,0.727943
1.779998,1.000000,0.027206,-0.009201,0.718742
1.789998,1.000000,0.028126,-0.008834,0.709908
1.799998,1.000000,0.029009,-0.008461,0.701447
1.809998,1.000000,0.029855,-0.008084,0.693363
1.819998,1.000000,0.030664,-0.007702,0.685661
1.829998,1.000000,0.031434,-0.007316,0.678345
