,VIN,LPF_OUT
0,0,0
1,25929,13280
2,31934,23790
3,31866,29202
4,25780,28728
5,16411,23531
6,6928,15576
7,833,7581
8,902,3049
9,6955,3806
10,16364,9110
11,25712,17157
12,31955,25169
13,31871,29712
14,25896,29071
15,16426,23717
16,6927,15609
17,826,7584
18,902,3051
19,6940,3788
20,16360,9100
21,25701,17151
22,31958,25170
23,31869,29710
24,25878,29046
25,16427,23698
26,6929,15608
27,827,7585
28,902,3052
29,6941,3789
30,16360,9101
31,25702,17152
32,31958,25170
33,31869,29710
34,25877,29044
35,16427,23697
36,6929,15608
37,827,7585
38,902,3052
39,6941,3789
40,16360,9101
41,25702,17152
42,31958,25170
43,31869,29710
44,25877,29043
45,16427,23696
46,6929,15608
47,827,7585
48,902,3052
49,6941,3789
50,16360,9101
51,25702,17152
52,31958,25170
53,31869,29710
54,25877,29043
55,16427,23696
56,6929,15608
57,827,7585
58,902,3052
59,6941,3789
60,16360,9101
61,25702,17152
62,31958,25170
63,31869,29710
64,25877,29043
65,16427,23696
66,6929,15608
67,827,7585
68,902,3052
69,6941,3789
70,16360,9101
71,25702,17152
72,31958,25170
73,31869,29710
74,25877,29043
75,16427,23696
76,6929,15608
77,827,7585
78,902,3052
79,6941,3789
80,16360,9101
81,25702,17152
82,31958,25170
83,31869,29710
84,25877,29043
85,16427,23696
86,6929,15608
87,827,7585
88,902,3052
89,6941,3789
90,16360,9101
91,25702,17152
92,31958,25170
93,31869,29710
94,25877,29043
95,16427,23696
96,6929,15608
97,827,7585
98,902,3052
99,6941,3789
100,16383,8945
