n,vin,lpf_out,filter_out,dac_out
0,0.000000,0.000000,0.000000,0.000000
1,0.791290,0.405273,0.405273,0.135091
2,0.974548,0.726013,0.725586,0.377096
3,0.972473,0.891174,0.890625,0.674154
4,0.786743,0.876709,0.875977,0.831299
5,0.500824,0.718109,0.717773,0.828664
6,0.211426,0.475342,0.474609,0.690053
7,0.025421,0.231354,0.230469,0.474935
8,0.027527,0.093048,0.092773,0.266581
9,0.212250,0.116150,0.115234,0.146851
10,0.499390,0.278015,0.277344,0.162404
11,0.784668,0.523590,0.523438,0.305918
12,0.975189,0.768097,0.767578,0.523234
13,0.972626,0.906738,0.906250,0.732808
14,0.790283,0.887177,0.886719,0.854004
15,0.501282,0.723785,0.723633,0.839233
16,0.211395,0.476349,0.475586,0.695770
17,0.025208,0.231445,0.231445,0.477193
18,0.027527,0.093109,0.092773,0.266968
19,0.211792,0.115601,0.115234,0.146718
20,0.499268,0.277710,0.277344,0.162140
21,0.784332,0.523407,0.522461,0.305573
22,0.975281,0.768127,0.767578,0.523081
23,0.972565,0.906677,0.906250,0.732737
24,0.789734,0.886414,0.885742,0.853739
25,0.501312,0.723206,0.722656,0.838765
26,0.211456,0.476318,0.475586,0.695312
27,0.025238,0.231476,0.231445,0.477000
28,0.027527,0.093140,0.092773,0.266978
29,0.211823,0.115631,0.115234,0.146749
30,0.499268,0.277740,0.277344,0.162170
31,0.784363,0.523438,0.523438,0.305603
32,0.975281,0.768127,0.767578,0.523102
33,0.972565,0.906677,0.906250,0.732747
34,0.789703,0.886353,0.885742,0.853719
35,0.501312,0.723175,0.722656,0.838735
36,0.211456,0.476318,0.475586,0.695282
37,0.025238,0.231476,0.231445,0.476990
38,0.027527,0.093140,0.092773,0.266978
39,0.211823,0.115631,0.115234,0.146749
40,0.499268,0.277740,0.277344,0.162170
41,0.784363,0.523438,0.523438,0.305603
42,0.975281,0.768127,0.767578,0.523102
43,0.972565,0.906677,0.906250,0.732747
44,0.789703,0.886322,0.885742,0.853709
45,0.501312,0.723145,0.722656,0.838715
46,0.211456,0.476318,0.475586,0.695262
47,0.025238,0.231476,0.231445,0.476980
48,0.027527,0.093140,0.092773,0.266978
49,0.211823,0.115631,0.115234,0.146749
50,0.499268,0.277740,0.277344,0.162170
51,0.784363,0.523438,0.523438,0.305603
52,0.975281,0.768127,0.767578,0.523102
53,0.972565,0.906677,0.906250,0.732747
54,0.789703,0.886322,0.885742,0.853709
55,0.501312,0.723145,0.722656,0.838715
56,0.211456,0.476318,0.475586,0.695262
57,0.025238,0.231476,0.231445,0.476980
58,0.027527,0.093140,0.092773,0.266978
59,0.211823,0.115631,0.115234,0.146749
60,0.499268,0.277740,0.277344,0.162170
61,0.784363,0.523438,0.523438,0.305603
62,0.975281,0.768127,0.767578,0.523102
63,0.972565,0.906677,0.906250,0.732747
64,0.789703,0.886322,0.885742,0.853709
65,0.501312,0.723145,0.722656,0.838715
66,0.211456,0.476318,0.475586,0.695262
67,0.025238,0.231476,0.231445,0.476980
68,0.027527,0.093140,0.092773,0.266978
69,0.211823,0.115631,0.115234,0.146749
70,0.499268,0.277740,0.277344,0.162170
71,0.784363,0.523438,0.523438,0.305603
72,0.975281,0.768127,0.767578,0.523102
73,0.972565,0.906677,0.906250,0.732747
74,0.789703,0.886322,0.885742,0.853709
75,0.501312,0.723145,0.722656,0.838715
76,0.211456,0.476318,0.475586,0.695262
77,0.025238,0.231476,0.231445,0.476980
78,0.027527,0.093140,0.092773,0.266978
79,0.211823,0.115631,0.115234,0.146749
80,0.499268,0.277740,0.277344,0.162170
81,0.784363,0.523438,0.523438,0.305603
82,0.975281,0.768127,0.767578,0.523102
83,0.972565,0.906677,0.906250,0.732747
84,0.789703,0.886322,0.885742,0.853709
85,0.501312,0.723145,0.722656,0.838715
86,0.211456,0.476318,0.475586,0.695262
87,0.025238,0.231476,0.231445,0.476980
88,0.027527,0.093140,0.092773,0.266978
89,0.211823,0.115631,0.115234,0.146749
90,0.499268,0.277740,0.277344,0.162170
91,0.784363,0.523438,0.523438,0.305603
92,0.975281,0.768127,0.767578,0.523102
93,0.972565,0.906677,0.906250,0.732747
94,0.789703,0.886322,0.885742,0.853709
95,0.501312,0.723145,0.722656,0.838715
96,0.211456,0.476318,0.475586,0.695262
97,0.025238,0.231476,0.231445,0.476980
98,0.027527,0.093140,0.092773,0.266978
99,0.211823,0.115631,0.115234,0.146749
100,0.499969,0.272980,0.272461,0.160583
